'번호','영업상태구분코드','소재지전체주소','사업장명','업태구분명','좌표정보(x)','좌표정보(y)'
'10543','1','서울특별시 서초구 서초동 1511-13 1층','로맨틱타임','커피숍','200642.2034','442790.0486'
'10545','1','서울특별시 서초구 방배동 451-32 1층','카페it수다','커피숍','198499.2582','441882.141'
'12936','1','서울특별시 마포구 서교동 368-11번지','로벤','커피숍','192882.2114','449911.3921'
'12938','1','서울특별시 마포구 상암동 1605번지 누리꿈스퀘어 지하1층 B1087호','셀렉토커피상암누리꿈스퀘어점','커피숍','190250.8751','453017.8672'
'12939','1','서울특별시 마포구 연남동 241-45번지 지층전부','펫고리','커피숍','193056.7252','451469.2154'
'12940','1','서울특별시 마포구 합정동 473번지','보노보나마포합정점','커피숍','192142.2714','449868.9646'
'12941','1','서울특별시 마포구 서교동 345-6번지','아쿠아쿠','커피숍','193155.5571','450299.3905'
'12943','1','서울특별시 마포구 합정동 473번지 마포한강2차푸르지오상업시설 120호','만랩커피합정역/딜라이트점','커피숍','192142.2714','449868.9646'
'12944','1','서울특별시 마포구 동교동 164-30번지','카페 피움(cafe fioom) 홍대점','커피숍','193167.688','450376.9497'
'12945','1','서울특별시 마포구 연남동 229-45번지 1층일부','수앤싸이몬soo&simon','커피숍','193216.4067','451203.6021'
'12946','1','서울특별시 마포구 동교동 159-5번지 현대카드 현대캐피탈 홍대사옥1층일부','백미당홍대점','커피숍','193152.6238','450523.4712'
'12947','1','서울특별시 마포구 공덕동 467번지','더치앤빈공덕역점','커피숍','195564.3758','449186.9333'
'12948','1','서울특별시 마포구 상암동 1674번지 상암월드컵8단지 상가 102호','커피농부와 정원','커피숍','189586.4938','452818.681'
'12952','1','서울특별시 마포구 공덕동 476번지','디저트39마포공덕점','커피숍','195331.8856','449180.427'
'12953','1','서울특별시 마포구 도화동 201-20번지','커피온리 마포역점','커피숍','195307.3378','448621.5462'
'12957','1','서울특별시 마포구 연남동 255-24번지','듀오란스','커피숍','193194.1128','451101.6164'
'12960','1','서울특별시 마포구 대흥동 111-1번지','스타벅스커피 서강대흥역','커피숍','194765.5276','449557.9208'
'12962','1','서울특별시 마포구 아현동 291-1번지','카페모모','커피숍','195986.3242','450441.8033'
'12967','1','서울특별시 마포구 상수동 309-10번지 상수역','빠넷빠베','커피숍','193111.0882','449528.8124'
'12969','1','서울특별시 마포구 동교동 164-22번지','메가엠지씨커피 홍대입구역점','커피숍','193236.41','450439.3622'
'12970','1','서울특별시 마포구 성산동 56-1번지','이디야(성산점)','커피숍','192108.6053','451398.7845'
'12973','1','서울특별시 마포구 창전동 436-17번지','트위스트꽈배기','커피숍','193324.2067','450085.8667'
'12974','1','서울특별시 마포구 상수동 72-1번지 홍익대홍문관 R201','그라찌에','커피숍','193359.2719','449831.5333'
'12978','1','서울특별시 마포구 합정동 376-19번지','커넥츠커피','커피숍','192204.4603','449320.3651'
'12979','1','서울특별시 마포구 도화동 532번지 신원빌딩','비앤씨매니아 마포점','커피숍','195386.3371','448929.0143'
'12983','1','서울특별시 마포구 연남동 239-44 비브릭','연트럴다방','커피숍','193172.3514','451277.5087'
'12984','1','서울특별시 마포구 아현동 618-19번지 마포 센텀 슬로우스퀘어','스타벅스마포경찰서후문','커피숍','195829.9552','449860.5754'
'12985','1','서울특별시 마포구 공덕동 254-8번지 동방빌딩','스타벅스공덕','커피숍','195775.0185','449299.5214'
'12987','1','서울특별시 마포구 성산동 228-1번지','이디야','커피숍','192567.2109','450896.3444'
'12988','1','서울특별시 마포구 연남동 509-28번지','포포리 POPORI','커피숍','192979.6596','451110.5533'
'12993','1','서울특별시 마포구 연남동 223-83번지','글랜스 커피','커피숍','193316.1119','451338.6536'
'12995','1','서울특별시 마포구 공덕동 242-71번지 소담빌딩','필로커피','커피숍','193267.6071','450739.8672'
'12997','1','서울특별시 마포구 성산동 595번지','카페테티스 Cafe Tethys','커피숍','191197.3579','451340.1392'
'12998','1','서울특별시 마포구 용강동 494-44번지','사회적협동조합동방','커피숍','194601.4133','448957.5078'
'13001','1','서울특별시 마포구 연남동 383-82번지','하므케이크','커피숍','193460.3953','451065.4023'
'13009','1','서울특별시 마포구 합정동 472번지','라스미어(LAS MEER)','커피숍','192171.2354','449751.487'
'13012','1','서울특별시 마포구 동교동 166-1번지 지하1~지상2층','스타벅스 홍대공항철도역점','커피숍','193316.9003','450586.8651'
'13019','1','서울특별시 마포구 상암동 1595-1번지 드림타워 6층일부','투썸플레이스LG헬로비전점','커피숍','190075.3804','453345.9477'
'13020','1','서울특별시 마포구 서교동 487번지','프레드앤샐리','커피숍','192577.9908','450569.6705'
'13024','1','서울특별시 마포구 연남동 383-100번지','카페 칼라풀(Cafe colorful)','커피숍','193442.6846','451030.2337'
'13026','1','서울특별시 마포구 신공덕동 171번지 마포케이씨씨웰츠타워','(한)한스케익 공덕점','커피숍','195729.4939','448955.1731'
'13030','1','서울특별시 마포구 서교동 463-15번지 1층우측','블루웨일','커피숍','192751.0243','450337.8786'
'13032','1','서울특별시 마포구 망원동 422-13번지','달콤한 그대','커피숍','191425.746','450593.0242'
'13033','1','서울특별시 마포구 상암동 1602번지','마리웨일마카롱 상암SBA점','커피숍','190182.0673','453141.6766'
'13034','1','서울특별시 마포구 도화동 173번지 삼창프라자빌딩','플리즈커피공덕점','커피숍','195324.7937','448885.4301'
'13036','1','서울특별시 마포구 서교동 381-11번지','청춘124','커피숍','192368.3346','450062.2252'
'13037','1','서울특별시 마포구 성산동 200-361번지','라무어 L''amour','커피숍','191727.9145','451408.8387'
'13038','1','서울특별시 마포구 서교동 490번지 메세나폴리스','스타벅스 합정폴리스R','커피숍','192311.6426','449855.6439'
'13039','1','서울특별시 마포구 동교동 166-14번지 동교동 스타피카소','와플대학(홍대점)','커피숍','193282.1308','450549.2802'
'13044','1','서울특별시 마포구 염리동 128-7번지','후엘고(huelgo)','커피숍','195328.7194','449642.8105'
'13046','1','서울특별시 마포구 신수동 42-10번지','루아르 커피 바 ruar coffee bar','커피숍','194527.1474','449334.3002'
'13050','1','서울특별시 마포구 연남동 257-23번지','차고(Chago)','커피숍','193149.1442','451075.2613'
'13051','1','서울특별시 마포구 도화동 195-3번지 지원빌딩','이든케이크','커피숍','195596.8254','448754.5602'
'13052','1','서울특별시 마포구 합정동 358-12번지','샐러드에브리웨어','커피숍','192700.2994','449375.7675'
'13054','1','서울특별시 마포구 합정동 369-5번지','더그레너리','커피숍','192304.8537','449320.3994'
'13056','1','서울특별시 마포구 서교동 395-17번지','브이엑스메이트카페','커피숍','192878.7278','449832.7663'
'13060','1','서울특별시 마포구 서교동 345-2번지','코칭','커피숍','193166.9905','450312.2683'
'13063','1','서울특별시 마포구 성산동 275-3번지 마포중앙도서관 1층 2호','매머드커피 마포중앙도서관점(129호)','커피숍','191843.8295','451282.5582'
'13065','1','서울특별시 마포구 상암동 1601번지 케이지아이티센터 140호','오후를부탁해','커피숍','190125.5648','453090.1498'
'13067','1','서울특별시 마포구 도화동 181-1번지','메가커피 공덕점','커피숍','195601.8667','448873.9873'
'13069','1','서울특별시 마포구 동교동 163-20번지 3층일부','X·D팩토리','커피숍','193070.7481','450280.8967'
'13070','1','서울특별시 마포구 노고산동 57-26번지 신촌센트럴코업레지던스','커피더캠프신촌로터리점','커피숍','194237.3457','450263.5077'
